YEAR,SEASON,TIME_PERIOD,BUNDANG
2019,2,0,788.8081967213116
2019,2,1,896.5901639344262
2019,2,2,651.8180327868853
2019,2,3,903.3377049180327
2019,3,0,1665.5774193548389
2019,3,1,1952.7548387096774
2019,3,2,1492.6548387096775
2019,3,3,1872.8645161290324
2020,0,0,817.4608695652173
2020,0,1,954.7467391304348
2020,0,2,698.3989130434783
2020,0,3,941.1782608695652
2020,1,0,213.0391304347826
2020,1,1,370.0565217391304
2020,1,2,424.9065217391304
2020,1,3,298.1054347826087
2020,2,0,674.089010989011
2020,2,1,794.967032967033
2020,2,2,627.0582417582418
2020,2,3,765.9054945054944
2020,3,0,1746.5384615384614
2020,3,1,1973.2351648351648
2020,3,2,1563.910989010989
2020,3,3,1922.3956043956043
2021,0,0,728.3228260869565
2021,0,1,898.9858695652174
2021,0,2,671.0326086956521
2021,0,3,833.3326086956522
2021,1,0,176.6195652173913
2021,1,1,341.05760869565216
2021,1,2,406.70108695652175
2021,1,3,263.3
2021,2,0,618.343956043956
2021,2,1,765.1406593406593
2021,2,2,619.9065934065934
2021,2,3,702.3252747252747
2021,3,0,1980.1911111111112
2021,3,1,2206.378888888889
2021,3,2,1804.4055555555556
2021,3,3,2100.6711111111113
2022,0,0,761.9489130434783
2022,0,1,978.7260869565217
2022,0,2,743.7152173913043
2022,0,3,889.8684782608696
2022,1,0,208.8923913043478
2022,1,1,354.96521739130435
2022,1,2,426.6717391304348
2022,1,3,284.6891304347826
2022,2,0,219.86774193548385
2022,2,1,346.76666666666665
2022,2,2,383.56000000000006
2022,2,3,268.5133333333334
2022,3,0,2151.4830508474574
2022,3,1,2416.0440677966103
2022,3,2,1915.9949152542372
2022,3,3,2269.084745762712
