YEAR,SEASON,TIME_PERIOD,CHEONGJU
2019,2,0,343.4918032786885
2019,2,1,341.5081967213115
2019,2,2,227.29508196721312
2019,2,3,420.42622950819674
2019,3,0,799.1935483870968
2019,3,1,781.0322580645161
2019,3,2,572.7741935483871
2019,3,3,907.6129032258065
2020,0,0,375.1521739130435
2020,0,1,393.1847826086956
2020,0,2,298.2717391304348
2020,0,3,476.3152173913044
2020,1,0,97.79347826086956
2020,1,1,153.5326086956522
2020,1,2,168.6086956521739
2020,1,3,170.5326086956522
2020,2,0,297.6703296703297
2020,2,1,306.75824175824175
2020,2,2,230.4945054945055
2020,2,3,382.16483516483515
2020,3,0,843.2307692307693
2020,3,1,836.7362637362637
2020,3,2,619.010989010989
2020,3,3,955.5824175824176
2021,0,0,345.35869565217394
2021,0,1,393.07608695652175
2021,0,2,285.44565217391306
2021,0,3,461.14130434782606
2021,1,0,86.73913043478261
2021,1,1,169.1413043478261
2021,1,2,183.04347826086956
2021,1,3,172.66304347826087
2021,2,0,292.5934065934066
2021,2,1,317.34065934065933
2021,2,2,256.38461538461536
2021,2,3,377.9230769230769
2021,3,0,935.8888888888889
2021,3,1,937.8222222222222
2021,3,2,713.5555555555555
2021,3,3,1064.7
2022,0,0,375.6304347826087
2022,0,1,428.6847826086956
2022,0,2,307.4782608695652
2022,0,3,494.89130434782606
2022,1,0,87.6304347826087
2022,1,1,164.34782608695653
2022,1,2,167.07608695652175
2022,1,3,178.9673913043478
2022,2,0,96.0
2022,2,1,154.1
2022,2,2,159.8
2022,2,3,180.23333333333332
2022,3,0,1034.915254237288
2022,3,1,1029.4237288135594
2022,3,2,750.5254237288135
2022,3,3,1178.5593220338983
