YEAR,SEASON,TIME_PERIOD,DAEGU
2019,2,0,492.8688524590164
2019,2,1,464.4590163934426
2019,2,2,292.9344262295082
2019,2,3,544.0655737704918
2019,3,0,1138.0
2019,3,1,1015.6774193548387
2019,3,2,648.4193548387096
2019,3,3,1210.4193548387098
2020,0,0,515.5434782608696
2020,0,1,505.2717391304348
2020,0,2,380.3152173913044
2020,0,3,595.054347826087
2020,1,0,96.07608695652173
2020,1,1,165.56521739130434
2020,1,2,160.7608695652174
2020,1,3,178.82608695652175
2020,2,0,388.25274725274727
2020,2,1,398.5934065934066
2020,2,2,268.5274725274725
2020,2,3,466.6373626373626
2020,3,0,1185.3846153846155
2020,3,1,1074.4835164835165
2020,3,2,744.0
2020,3,3,1285.1813186813188
2021,0,0,454.3695652173913
2021,0,1,486.2608695652174
2021,0,2,323.4891304347826
2021,0,3,561.0760869565217
2021,1,0,89.66304347826087
2021,1,1,158.34782608695653
2021,1,2,139.25
2021,1,3,165.3804347826087
2021,2,0,381.032967032967
2021,2,1,394.4835164835165
2021,2,2,273.6923076923077
2021,2,3,466.2857142857143
2021,3,0,1200.0444444444445
2021,3,1,1103.5777777777778
2021,3,2,778.2444444444444
2021,3,3,1343.3
2022,0,0,445.94565217391306
2022,0,1,469.04347826086956
2022,0,2,315.8152173913044
2022,0,3,537.054347826087
2022,1,0,92.81521739130434
2022,1,1,148.5108695652174
2022,1,2,137.9673913043478
2022,1,3,152.5108695652174
2022,2,0,115.61290322580645
2022,2,1,175.46666666666667
2022,2,2,151.33333333333334
2022,2,3,191.0
2022,3,0,1307.3389830508474
2022,3,1,1185.1016949152543
2022,3,2,824.2372881355932
2022,3,3,1424.5593220338983
