YEAR,SEASON,TIME_PERIOD,DONGTAN
2019,2,0,293.4754098360656
2019,2,1,303.5409836065574
2019,2,2,230.39344262295083
2019,2,3,373.1639344262295
2019,3,0,763.8064516129032
2019,3,1,713.1612903225806
2019,3,2,542.1935483870968
2019,3,3,833.1935483870968
2020,0,0,344.60869565217394
2020,0,1,362.6847826086956
2020,0,2,298.8369565217391
2020,0,3,436.0869565217391
2020,1,0,101.78260869565217
2020,1,1,207.67391304347825
2020,1,2,295.14130434782606
2020,1,3,231.83695652173913
2020,2,0,272.7142857142857
2020,2,1,313.7032967032967
2020,2,2,285.989010989011
2020,2,3,389.61538461538464
2020,3,0,824.1538461538462
2020,3,1,769.8351648351648
2020,3,2,600.8351648351648
2020,3,3,877.9120879120879
2021,0,0,343.2282608695652
2021,0,1,383.25
2021,0,2,312.2173913043478
2021,0,3,453.75
2021,1,0,108.31521739130434
2021,1,1,285.4130434782609
2021,1,2,433.70652173913044
2021,1,3,301.4130434782609
2021,2,0,293.56043956043953
2021,2,1,364.7802197802198
2021,2,2,371.75824175824175
2021,2,3,431.5934065934066
2021,3,0,947.2777777777778
2021,3,1,916.7333333333333
2021,3,2,716.0888888888888
2021,3,3,1034.2111111111112
2022,0,0,389.79347826086956
2022,0,1,446.7282608695652
2022,0,2,407.9782608695652
2022,0,3,521.0434782608696
2022,1,0,112.08695652173913
2022,1,1,334.4021739130435
2022,1,2,538.9239130434783
2022,1,3,380.9130434782609
2022,2,0,102.93548387096774
2022,2,1,279.6
2022,2,2,426.8666666666667
2022,2,3,333.93333333333334
2022,3,0,1096.4745762711864
2022,3,1,1045.9322033898304
2022,3,2,801.2542372881356
2022,3,3,1176.8983050847457
