YEAR,SEASON,TIME_PERIOD,GWANGGYO
2019,2,0,189.29508196721312
2019,2,1,194.672131147541
2019,2,2,160.5737704918033
2019,2,3,242.9672131147541
2019,3,0,420.96774193548384
2019,3,1,463.06451612903226
2019,3,2,394.0967741935484
2019,3,3,507.7741935483871
2020,0,0,232.56521739130434
2020,0,1,230.9891304347826
2020,0,2,189.16304347826087
2020,0,3,263.3152173913044
2020,1,0,108.51086956521739
2020,1,1,218.7391304347826
2020,1,2,359.6847826086956
2020,1,3,263.6304347826087
2020,2,0,159.46153846153845
2020,2,1,196.04395604395606
2020,2,2,220.1868131868132
2020,2,3,231.4835164835165
2020,3,0,481.34065934065933
2020,3,1,481.0989010989011
2020,3,2,415.3296703296703
2020,3,3,531.945054945055
2021,0,0,180.40217391304347
2021,0,1,220.34782608695653
2021,0,2,203.1195652173913
2021,0,3,243.30434782608697
2021,1,0,114.55434782608695
2021,1,1,264.5108695652174
2021,1,2,438.9891304347826
2021,1,3,289.3478260869565
2021,2,0,170.64835164835165
2021,2,1,215.76923076923077
2021,2,2,255.34065934065933
2021,2,3,246.54945054945054
2021,3,0,506.55555555555554
2021,3,1,526.3111111111111
2021,3,2,453.03333333333336
2021,3,3,589.3
2022,0,0,207.3586956521739
2022,0,1,245.16304347826087
2022,0,2,242.84782608695653
2022,0,3,268.8369565217391
2022,1,0,144.3804347826087
2022,1,1,270.8804347826087
2022,1,2,425.2032608695652
2022,1,3,321.3619565217391
2022,2,0,90.19354838709677
2022,2,1,197.3
2022,2,2,330.5
2022,2,3,225.93333333333334
2022,3,0,565.6949152542373
2022,3,1,581.1016949152543
2022,3,2,486.76271186440675
2022,3,3,641.2033898305085
