YEAR,SEASON,TIME_PERIOD,HWASUNG
2019,2,0,359.327868852459
2019,2,1,361.44262295081967
2019,2,2,267.6885245901639
2019,2,3,449.327868852459
2019,3,0,845.3548387096774
2019,3,1,801.1935483870968
2019,3,2,623.0
2019,3,3,956.4193548387096
2020,0,0,387.0576086956522
2020,0,1,389.1304347826087
2020,0,2,321.2608695652174
2020,0,3,474.7282608695652
2020,1,0,101.06521739130434
2020,1,1,199.2608695652174
2020,1,2,278.42391304347825
2020,1,3,210.09782608695653
2020,2,0,278.8791208791209
2020,2,1,305.4945054945055
2020,2,2,270.4065934065934
2020,2,3,383.8131868131868
2020,3,0,868.6549450549451
2020,3,1,824.6043956043956
2020,3,2,651.9120879120879
2020,3,3,979.6593406593406
2021,0,0,361.4902173913043
2021,0,1,385.8510869565218
2021,0,2,302.7391304347826
2021,0,3,457.57608695652175
2021,1,0,116.96739130434783
2021,1,1,216.5326086956522
2021,1,2,258.9347826086956
2021,1,3,216.83695652173913
2021,2,0,306.24175824175825
2021,2,1,342.9230769230769
2021,2,2,295.97802197802196
2021,2,3,400.45054945054943
2021,3,0,958.178888888889
2021,3,1,918.3222222222222
2021,3,2,733.3777777777777
2021,3,3,1077.9777777777779
2022,0,0,373.7608695652174
2022,0,1,408.70652173913044
2022,0,2,331.25
2022,0,3,476.6304347826087
2022,1,0,119.8695652173913
2022,1,1,245.8695652173913
2022,1,2,306.1304347826087
2022,1,3,237.8695652173913
2022,2,0,115.58064516129032
2022,2,1,209.33333333333334
2022,2,2,269.1
2022,2,3,209.4
2022,3,0,1102.635593220339
2022,3,1,1039.864406779661
2022,3,2,813.2542372881356
2022,3,3,1209.5593220338983
