YEAR,SEASON,TIME_PERIOD,JOONGANG
2019,2,0,581.083606557377
2019,2,1,604.1852459016394
2019,2,2,472.6032786885246
2019,2,3,667.5213114754099
2019,3,0,1302.5806451612902
2019,3,1,1437.9354838709678
2019,3,2,1199.8064516129032
2019,3,3,1502.1612903225807
2020,0,0,646.1663043478261
2020,0,1,667.8978260869565
2020,0,2,500.47391304347826
2020,0,3,676.2130434782608
2020,1,0,137.9586956521739
2020,1,1,183.25
2020,1,2,188.3413043478261
2020,1,3,189.90108695652177
2020,2,0,485.7494505494505
2020,2,1,517.1615384615384
2020,2,2,410.95604395604397
2020,2,3,566.5703296703297
2020,3,0,1327.543956043956
2020,3,1,1493.1692307692308
2020,3,2,1269.9164835164834
2020,3,3,1528.3230769230768
2021,0,0,557.0282608695652
2021,0,1,596.945652173913
2021,0,2,441.6815217391304
2021,0,3,611.6728260869565
2021,1,0,128.25
2021,1,1,171.33695652173913
2021,1,2,180.31521739130434
2021,1,3,182.9880434782609
2021,2,0,427.39890109890115
2021,2,1,482.43956043956047
2021,2,2,362.6703296703297
2021,2,3,514.8076923076923
2021,3,0,1382.9444444444443
2021,3,1,1573.1444444444444
2021,3,2,1338.411111111111
2021,3,3,1585.0733333333335
2022,0,0,532.9673913043479
2022,0,1,585.195652173913
2022,0,2,439.2434782608696
2022,0,3,610.6282608695652
2022,1,0,132.29347826086956
2022,1,1,198.7391304347826
2022,1,2,201.13260869565218
2022,1,3,216.62391304347827
2022,2,0,124.70967741935483
2022,2,1,195.9
2022,2,2,189.3
2022,2,3,211.56666666666666
2022,3,0,1426.3898305084747
2022,3,1,1639.8305084745762
2022,3,2,1376.050847457627
2022,3,3,1633.715254237288
