YEAR,SEASON,TIME_PERIOD,KANGNAM
2019,2,0,1370.3754098360655
2019,2,1,1357.1524590163935
2019,2,2,1011.1442622950821
2019,2,3,1488.7704918032787
2019,3,0,2908.206451612903
2019,3,1,2891.809677419355
2019,3,2,2347.3193548387094
2019,3,3,3215.3870967741937
2020,0,0,1415.0858695652173
2020,0,1,1357.1880434782609
2020,0,2,1095.6130434782608
2020,0,3,1493.8869565217392
2020,1,0,313.0141304347826
2020,1,1,537.5163043478261
2020,1,2,684.304347826087
2020,1,3,555.2739130434783
2020,2,0,1075.2395604395604
2020,2,1,1089.9703296703296
2020,2,2,913.1021978021978
2020,2,3,1269.9637362637363
2020,3,0,2946.223076923077
2020,3,1,2991.694505494506
2020,3,2,2427.204395604396
2020,3,3,3305.6747252747255
2021,0,0,1242.6576086956522
2021,0,1,1282.545652173913
2021,0,2,979.2510869565218
2021,0,3,1403.0978260869565
2021,1,0,332.1195652173913
2021,1,1,579.9489130434783
2021,1,2,719.9815217391305
2021,1,3,561.6565217391304
2021,2,0,1071.3593406593407
2021,2,1,1102.321978021978
2021,2,2,913.5428571428571
2021,2,3,1245.1593406593406
2021,3,0,3143.526666666667
2021,3,1,3216.6155555555556
2021,3,2,2623.21
2021,3,3,3566.6566666666663
2022,0,0,1307.6902173913043
2022,0,1,1363.5434782608695
2022,0,2,1010.5608695652174
2022,0,3,1463.7521739130436
2022,1,0,320.2608695652174
2022,1,1,565.8641304347826
2022,1,2,682.4815217391305
2022,1,3,567.05
2022,2,0,320.2258064516129
2022,2,1,565.8666666666667
2022,2,2,617.1666666666666
2022,2,3,589.9666666666667
2022,3,0,3377.657627118644
2022,3,1,3503.054237288136
2022,3,2,2755.406779661017
2022,3,3,3849.1372881355933
