YEAR,SEASON,TIME_PERIOD,KIMHAE
2019,2,0,138.08196721311475
2019,2,1,123.37704918032787
2019,2,2,88.36065573770492
2019,2,3,156.21311475409837
2019,3,0,313.61290322580646
2019,3,1,271.4193548387097
2019,3,2,196.03225806451613
2019,3,3,346.16129032258067
2020,0,0,156.15217391304347
2020,0,1,135.90217391304347
2020,0,2,113.40217391304348
2020,0,3,177.70652173913044
2020,1,0,43.82608695652174
2020,1,1,52.65217391304348
2020,1,2,50.65217391304348
2020,1,3,59.65217391304348
2020,2,0,118.51648351648352
2020,2,1,109.13186813186813
2020,2,2,85.51648351648352
2020,2,3,140.96703296703296
2020,3,0,321.68131868131866
2020,3,1,289.6263736263736
2020,3,2,217.5934065934066
2020,3,3,366.1758241758242
2021,0,0,139.25
2021,0,1,127.69565217391305
2021,0,2,102.32608695652173
2021,0,3,163.8804347826087
2021,1,0,39.80434782608695
2021,1,1,51.5
2021,1,2,48.20652173913044
2021,1,3,59.119565217391305
2021,2,0,116.02197802197803
2021,2,1,110.04395604395604
2021,2,2,82.67032967032966
2021,2,3,143.3186813186813
2021,3,0,334.9888888888889
2021,3,1,306.2888888888889
2021,3,2,231.25555555555556
2021,3,3,388.25555555555553
2022,0,0,141.94565217391303
2022,0,1,134.80434782608697
2022,0,2,103.73913043478261
2022,0,3,169.25
2022,1,0,38.75
2022,1,1,52.96739130434783
2022,1,2,50.79347826086956
2022,1,3,54.0
2022,2,0,43.935483870967744
2022,2,1,57.86666666666667
2022,2,2,52.06666666666667
2022,2,3,63.46666666666667
2022,3,0,366.40677966101697
2022,3,1,334.1694915254237
2022,3,2,249.05084745762713
2022,3,3,419.728813559322
