YEAR,SEASON,TIME_PERIOD,PAJU
2019,2,0,257.8688524590164
2019,2,1,235.37704918032787
2019,2,2,149.52459016393442
2019,2,3,301.88524590163934
2019,3,0,591.3548387096774
2019,3,1,504.93548387096774
2019,3,2,285.258064516129
2019,3,3,622.0645161290323
2020,0,0,277.0978260869565
2020,0,1,264.45652173913044
2020,0,2,178.15217391304347
2020,0,3,281.5652173913044
2020,1,0,101.8804347826087
2020,1,1,97.32608695652173
2020,1,2,68.96739130434783
2020,1,3,100.51086956521739
2020,2,0,220.1868131868132
2020,2,1,205.32967032967034
2020,2,2,155.01098901098902
2020,2,3,288.6703296703297
2020,3,0,580.2307692307693
2020,3,1,525.6923076923077
2020,3,2,342.05494505494505
2020,3,3,693.7692307692307
2021,0,0,258.2717391304348
2021,0,1,256.8695652173913
2021,0,2,176.1086956521739
2021,0,3,317.9782608695652
2021,1,0,70.04347826086956
2021,1,1,107.3913043478261
2021,1,2,92.6304347826087
2021,1,3,141.2391304347826
2021,2,0,209.07692307692307
2021,2,1,226.41758241758242
2021,2,2,171.3956043956044
2021,2,3,288.8131868131868
2021,3,0,657.8111111111111
2021,3,1,625.9444444444445
2021,3,2,449.68888888888887
2021,3,3,826.7444444444444
2022,0,0,300.14130434782606
2022,0,1,307.89130434782606
2022,0,2,225.06521739130434
2022,0,3,373.94565217391306
2022,1,0,43.22826086956522
2022,1,1,118.46739130434783
2022,1,2,151.54347826086956
2022,1,3,176.45652173913044
2022,2,0,40.58064516129032
2022,2,1,127.56666666666666
2022,2,2,123.83333333333333
2022,2,3,199.2
2022,3,0,790.0169491525423
2022,3,1,736.6440677966102
2022,3,2,535.3220338983051
2022,3,3,859.9152542372881
