YEAR,SEASON,TIME_PERIOD,PYONGTAEK
2019,2,0,10.20983606557377
2019,2,1,10.132786885245903
2019,2,2,8.89672131147541
2019,2,3,9.77377049180328
2019,3,0,27.98709677419355
2019,3,1,27.86774193548387
2019,3,2,23.0
2019,3,3,32.21612903225807
2020,0,0,15.960869565217392
2020,0,1,17.343478260869563
2020,0,2,15.25
2020,0,3,20.883695652173913
2020,1,0,7.831521739130435
2020,1,1,12.36304347826087
2020,1,2,14.339130434782609
2020,1,3,12.508695652173913
2020,2,0,16.12967032967033
2020,2,1,18.72197802197802
2020,2,2,16.665934065934064
2020,2,3,22.980219780219777
2020,3,0,40.21758241758242
2020,3,1,39.76373626373626
2020,3,2,33.08351648351648
2020,3,3,48.0945054945055
2021,0,0,22.53478260869565
2021,0,1,27.551086956521736
2021,0,2,22.944565217391304
2021,0,3,32.475
2021,1,0,11.213043478260868
2021,1,1,24.71195652173913
2021,1,2,33.50326086956522
2021,1,3,24.57934782608696
2021,2,0,32.590109890109886
2021,2,1,37.783516483516486
2021,2,2,37.667032967032966
2021,2,3,41.72417582417582
2021,3,0,72.27111111111111
2021,3,1,75.74333333333333
2021,3,2,62.294444444444444
2021,3,3,85.95666666666668
2022,0,0,50.53152173913043
2022,0,1,60.89239130434783
2022,0,2,57.02173913043478
2022,0,3,64.3695652173913
2022,1,0,30.108695652173914
2022,1,1,50.77173913043478
2022,1,2,63.77173913043478
2022,1,3,47.03260869565217
2022,2,0,36.193548387096776
2022,2,1,55.0
2022,2,2,64.36666666666666
2022,2,3,54.333333333333336
2022,3,0,115.98305084745763
2022,3,1,130.72881355932202
2022,3,2,102.77966101694915
2022,3,3,130.57627118644066
