YEAR,SEASON,TIME_PERIOD,SEJONG
2019,2,0,383.7049180327869
2019,2,1,430.72131147540983
2019,2,2,323.8032786885246
2019,2,3,466.60655737704917
2019,3,0,986.258064516129
2019,3,1,957.4193548387096
2019,3,2,571.0967741935484
2019,3,3,989.9354838709677
2020,0,0,456.5652173913044
2020,0,1,494.0565217391304
2020,0,2,378.19565217391306
2020,0,3,546.5217391304348
2020,1,0,112.20978260869565
2020,1,1,311.0978260869565
2020,1,2,433.6195652173913
2020,1,3,298.6358695652174
2020,2,0,350.75934065934064
2020,2,1,420.24175824175825
2020,2,2,350.35164835164835
2020,2,3,454.4802197802197
2020,3,0,1035.89010989011
2020,3,1,1026.9450549450548
2020,3,2,688.9934065934066
2020,3,3,1075.8758241758242
2021,0,0,418.4706521739131
2021,0,1,511.6521739130435
2021,0,2,385.9347826086956
2021,0,3,551.7184782608696
2021,1,0,138.37391304347827
2021,1,1,345.7891304347826
2021,1,2,474.9130434782609
2021,1,3,321.8282608695652
2021,2,0,350.16483516483515
2021,2,1,428.1978021978022
2021,2,2,382.7912087912088
2021,2,3,467.3142857142857
2021,3,0,1149.5944444444444
2021,3,1,1166.5222222222221
2021,3,2,862.6111111111111
2021,3,3,1223.3177777777778
2022,0,0,484.41739130434786
2022,0,1,582.966304347826
2022,0,2,453.5663043478261
2022,0,3,605.5
2022,1,0,145.06195652173915
2022,1,1,373.254347826087
2022,1,2,493.2826086956522
2022,1,3,331.34565217391304
2022,2,0,151.4516129032258
2022,2,1,269.96666666666664
2022,2,2,368.1
2022,2,3,272.8666666666667
2022,3,0,1321.5966101694914
2022,3,1,1301.1525423728813
2022,3,2,923.9322033898305
2022,3,3,1369.593220338983
