YEAR,SEASON,TIME_PERIOD,YANGSAN
2019,2,0,173.75409836065575
2019,2,1,170.95081967213116
2019,2,2,115.59016393442623
2019,2,3,212.27868852459017
2019,3,0,422.38709677419354
2019,3,1,389.38709677419354
2019,3,2,271.2258064516129
2019,3,3,463.1290322580645
2020,0,0,203.70652173913044
2020,0,1,198.90217391304347
2020,0,2,157.0108695652174
2020,0,3,249.2391304347826
2020,1,0,53.06521739130435
2020,1,1,85.45652173913044
2020,1,2,80.75
2020,1,3,93.1304347826087
2020,2,0,140.54945054945054
2020,2,1,148.3846153846154
2020,2,2,109.6923076923077
2020,2,3,178.93406593406593
2020,3,0,440.3076923076923
2020,3,1,409.72527472527474
2020,3,2,302.34065934065933
2020,3,3,495.2087912087912
2021,0,0,186.7826086956522
2021,0,1,193.31521739130434
2021,0,2,149.0
2021,0,3,234.6195652173913
2021,1,0,54.27173913043478
2021,1,1,81.70652173913044
2021,1,2,71.96739130434783
2021,1,3,93.97826086956522
2021,2,0,140.13186813186815
2021,2,1,159.73626373626374
2021,2,2,116.51648351648352
2021,2,3,188.9120879120879
2021,3,0,459.85555555555555
2021,3,1,438.4111111111111
2021,3,2,332.1333333333333
2021,3,3,530.5222222222222
2022,0,0,199.6413043478261
2022,0,1,212.2826086956522
2022,0,2,157.0108695652174
2022,0,3,259.5652173913044
2022,1,0,58.08695652173913
2022,1,1,93.09782608695652
2022,1,2,81.33695652173913
2022,1,3,112.17391304347827
2022,2,0,57.774193548387096
2022,2,1,95.43333333333334
2022,2,2,82.96666666666667
2022,2,3,115.9
2022,3,0,493.7118644067797
2022,3,1,494.2542372881356
2022,3,2,367.49152542372883
2022,3,3,575.3898305084746
