YEAR,SEASON,TIME_PERIOD,YONGIN
2019,2,0,1153.2622950819673
2019,2,1,1152.2622950819673
2019,2,2,880.327868852459
2019,2,3,1296.2131147540983
2019,3,0,2534.5806451612902
2019,3,1,2347.516129032258
2019,3,2,1751.6451612903227
2019,3,3,2671.5806451612902
2020,0,0,1178.3836956521739
2020,0,1,1145.795652173913
2020,0,2,1003.1913043478262
2020,0,3,1363.025
2020,1,0,277.1521739130435
2020,1,1,385.8369565217391
2020,1,2,535.0
2020,1,3,486.8804347826087
2020,2,0,945.3296703296703
2020,2,1,932.8461538461538
2020,2,2,777.8241758241758
2020,2,3,1107.9120879120878
2020,3,0,2553.043956043956
2020,3,1,2414.4175824175823
2020,3,2,1888.901098901099
2020,3,3,2736.934065934066
2021,0,0,1104.7717391304348
2021,0,1,1096.695652173913
2021,0,2,886.5434782608696
2021,0,3,1242.75
2021,1,0,289.70652173913044
2021,1,1,374.3478260869565
2021,1,2,436.4021739130435
2021,1,3,440.55434782608694
2021,2,0,881.1428571428571
2021,2,1,896.7472527472528
2021,2,2,741.6043956043956
2021,2,3,1025.2747252747254
2021,3,0,2730.5
2021,3,1,2630.8455555555556
2021,3,2,2035.1255555555554
2021,3,3,2942.0633333333335
2022,0,0,1174.3478260869565
2022,0,1,1162.054347826087
2022,0,2,953.4565217391304
2022,0,3,1318.7934782608695
2022,1,0,293.8478260869565
2022,1,1,370.2391304347826
2022,1,2,485.44565217391306
2022,1,3,494.4347826086956
2022,2,0,366.6774193548387
2022,2,1,435.53333333333336
2022,2,2,485.0
2022,2,3,519.4
2022,3,0,3000.0508474576272
2022,3,1,2886.322033898305
2022,3,2,2147.6101694915255
2022,3,3,3248.593220338983
